S.No,Timestamp,User_Id,Finle-Name,File-Format,Target-language,File-Size (KB)
1,33:06.6,root,Guide for DIMENSION MEASUREMENT RESULT fM.pdf,Slovak,3084.420898,
2,19:11.0,root,Verpflichtungserklärung PARALIGN.docx,English,612.4941406,
3,23:50.4,adusures,Trail.lntrans.lation - Copy.txt,Chinese(Simplified),0.559570313,
4,05:17.2,,Trail_lntranslation.pptx,Italian,39.70410156,
5,59:13.4,,Company_Car_Approval Form_AndreasSchuler_signed.pdf,German,474.9765625,
6,10:56.8,,FPC Activation standalone_QRcodebundle_BundlewithoutQRcode_ 1.docx,French,1719.100586,
7,42:52.3,LIN66015605,Trail_lntranslation.docx,Spanish,12.25976563,
8,05:31.0,LIN66015605,Trail_lntranslation.pptx,French,39.70410156,
9,38:07.8,79666f5f23fa4580982be019277e04c1,Trail.lntrans.lation - Copy.txt,Chinese(Simplified),0.559570313,
10,39:34.4,79666f5f23fa4580982be019277e04c1,Trail_lntranslation.pptx,German,39.70410156,
11,16:14.7,Unknown,Trail_lntranslation.xlsx,Dutch,9.899414063,
12,49:34.4,79666f5f23fa4580982be019277e04c1,Trail_lntranslation.txt,Italian,0.559570313,
13,53:54.8,79666f5f23fa4580982be019277e04c1,FPC Activation standalone_QRcodebundle_BundlewithoutQRcode_ ENG.docx,German,1718.986328,
14,56:51.5,79666f5f23fa4580982be019277e04c1,FPC Activation standalone_QRcodebundle_BundlewithoutQRcode_ ENG.docx,Spanish,1718.986328,
15,59:08.4,79666f5f23fa4580982be019277e04c1,FPC Activation standalone_QRcodebundle_BundlewithoutQRcode_ ENG.docx,Italian,1718.986328,
16,11:35.1,79666f5f23fa4580982be019277e04c1,2024_01_29_Pruftechnik Technology_umowa szczegółowa.doc,English,129.5,
17,21:36.8,79666f5f23fa4580982be019277e04c1,2024_01_29_Pruftechnik Wibrem_umowa szczegółowa.doc,English,129.5,
18,25:24.5,79666f5f23fa4580982be019277e04c1,seminarplan_2023_a4_de_v3.pdf,English,11294.28027,
19,30:46.3,79666f5f23fa4580982be019277e04c1,DOC-DER-02 - Akkoordverklaring WMD - versie 2.pdf,English,87.07910156,
20,59:31.4,79666f5f23fa4580982be019277e04c1,E-mail body communication to Partners_ENG_FR_DE_IT_ES.docx,French,13.9296875,
21,06:16.6,79666f5f23fa4580982be019277e04c1,E-mail body communication to Partners_ENG.docx,German,21.35253906,
22,10:44.2,79666f5f23fa4580982be019277e04c1,E-mail body communication to Partners_ENG.docx,Italian,21.35253906,
23,15:12.4,79666f5f23fa4580982be019277e04c1,E-mail body communication to Partners_ENG.docx,Spanish,21.35253906,
24,42:47.4,79666f5f23fa4580982be019277e04c1,Parametric Search.pdf,French,2133.779297,
25,44:53.5,79666f5f23fa4580982be019277e04c1,Parametric Search.pdf,German,2133.779297,
26,46:07.7,79666f5f23fa4580982be019277e04c1,Parametric Search.pdf,Chinese(Simplified),2133.779297,
27,47:15.7,79666f5f23fa4580982be019277e04c1,Parametric Search.pdf,Dutch,2133.779297,
28,48:33.7,79666f5f23fa4580982be019277e04c1,Parametric Search.pdf,Polish,2133.779297,
29,49:45.1,79666f5f23fa4580982be019277e04c1,Parametric Search.pdf,Spanish,2133.779297,
30,19:26.1,79666f5f23fa4580982be019277e04c1,NIR-CE.pdf,French,442.5029297,
31,20:34.5,79666f5f23fa4580982be019277e04c1,NIR-CE.pdf,German,442.5029297,
32,21:46.4,79666f5f23fa4580982be019277e04c1,NIR-CE.pdf,Chinese(Simplified),442.5029297,
33,22:57.0,79666f5f23fa4580982be019277e04c1,NIR-CE.pdf,Dutch,442.5029297,
34,24:30.2,79666f5f23fa4580982be019277e04c1,NIR-CE.pdf,Polish,442.5029297,
35,33:21.1,79666f5f23fa4580982be019277e04c1,NIR-CE.pdf,Spanish,442.5029297,
36,25:17.3,ecad705f24114ea0853c830327f61fce,Vibrasyon Analizi Teknik Şartnamesi.doc,English,48.5,
37,29:41.8,ecad705f24114ea0853c830327f61fce,Email MKT LAAM - Comece o mês com um Multímetro da Fluke!.docx,Spanish,274.0810547,
38,40:42.0,ecad705f24114ea0853c830327f61fce,Email MKT LAAM - Identifique desperdícios na produção com a calibração adequada.docx,Spanish,242.8125,
39,47:42.1,ecad705f24114ea0853c830327f61fce,Email MKT LAAM - Instale tomadas de cabos oito vezes mais rápido com a Fluke Networks.docx,Spanish,91.90527344,
40,00:08.9,ecad705f24114ea0853c830327f61fce,Email MKT LAAM - Otimize sua manutenção preventiva com Teste de Isolamento.docx,Spanish,217.4003906,
41,17:41.6,ecad705f24114ea0853c830327f61fce,DCO for Non-QMS Documents.pdf,French,1276.167969,
42,18:22.0,ecad705f24114ea0853c830327f61fce,DCO for Non-QMS Documents.pdf,German,1276.167969,
43,19:25.8,ecad705f24114ea0853c830327f61fce,DCO for Non-QMS Documents.pdf,Chinese(Simplified),1276.167969,
44,20:04.5,ecad705f24114ea0853c830327f61fce,DCO for Non-QMS Documents.pdf,Dutch,1276.167969,
45,20:40.3,ecad705f24114ea0853c830327f61fce,DCO for Non-QMS Documents.pdf,Polish,1276.167969,
46,21:25.1,ecad705f24114ea0853c830327f61fce,DCO for Non-QMS Documents.pdf,Spanish,1276.167969,
47,10:36.3,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,French,1775.085938,
48,13:00.2,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,French,1896.323242,
49,14:01.4,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,German,1896.323242,
50,14:48.8,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,Chinese(Simplified),1896.323242,
51,15:39.7,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,Dutch,1896.323242,
52,16:24.5,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,Polish,1896.323242,
53,17:21.6,ecad705f24114ea0853c830327f61fce,Change Order NRCO.pdf,Spanish,1896.323242,
54,33:52.3,ecad705f24114ea0853c830327f61fce,About Fluke.docx,Portuguese(Brazil),12.4453125,
55,37:28.8,ecad705f24114ea0853c830327f61fce,About Fluke.docx,Portuguese(Brazil),12.4453125,
56,41:59.3,ecad705f24114ea0853c830327f61fce,About Fluke.docx,Portuguese(Brazil),12.4453125,
57,48:12.1,ecad705f24114ea0853c830327f61fce,Fluke GmbH 04.03. bis 08.03.2024 AB.pdf,English,133.5517578,
58,43:27.9,ecad705f24114ea0853c830327f61fce,EG&C RoHS Document Load.pdf,French,1045.244141,
59,45:10.2,ecad705f24114ea0853c830327f61fce,EG&C RoHS Document Load.pdf,German,1045.244141,
